epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.098,0.93957,0.6418,0.82263,0.88788,0.61359,0.68269,0.52137,1.10551,1.44969,0.82498,0.000277342,0.000277342,0.000277342
2,433.692,0.97328,0.65494,0.82723,0.86293,0.61679,0.68297,0.51937,1.1132,1.40036,0.82571,0.000500063,0.000500063,0.000500063
3,645.165,0.97416,0.71289,0.82612,0.89821,0.58842,0.67313,0.49975,1.12507,1.39058,0.82815,0.000667806,0.000667806,0.000667806
4,885.736,0.97373,0.6728,0.82579,0.83222,0.61421,0.66909,0.51142,1.09413,1.48833,0.82475,0.000585599,0.000585599,0.000585599
5,1176.66,0.94798,0.64655,0.82372,0.88326,0.61599,0.68214,0.5198,1.08312,1.35448,0.8218,0.000503132,0.000503132,0.000503132
6,1374.47,0.94123,0.62682,0.8234,0.85484,0.62742,0.68478,0.5312,1.04724,1.32643,0.81923,0.000420665,0.000420665,0.000420665
7,1571.82,0.93135,0.60683,0.82151,0.89403,0.61045,0.68597,0.52416,1.06672,1.43048,0.82148,0.000338198,0.000338198,0.000338198
8,1768.41,0.89943,0.58653,0.82065,0.87031,0.62709,0.68886,0.53299,1.05706,1.32489,0.8194,0.000255731,0.000255731,0.000255731
9,1965.09,0.88973,0.571,0.81813,0.85587,0.62795,0.69041,0.53462,1.06936,1.41104,0.81965,0.000173264,0.000173264,0.000173264
10,2163.56,0.88088,0.56123,0.8144,0.85723,0.63295,0.69599,0.54267,1.03515,1.35342,0.81743,9.0797e-05,9.0797e-05,9.0797e-05
